category_id,category_code,count_purchase_category,sales_category,best_selling_product_id,count_purchase_product,sales_product,category_sales_per
2164367422893589471,not specified,284,7987.98,23000161,25,579.25,0.072515204094151463
2232732113948377930,sport.bicycle,280,49384.59,28100989,8,694.00,0.014052966725045201
2232732082121998458,kids.toys,278,10571.86,10400618,32,1152.32,0.108998794914045400
2053013552469377249,not specified,277,7182.34,22500066,30,779.59,0.108542619814712197
2053013553912217915,not specified,271,45799.69,18400208,22,4607.52,0.100601554289996286
2232732107698864813,not specified,270,4509.49,15300183,43,442.75,0.098181834309423017
2053013561059312345,electronics.tablet,268,56547.11,1201397,28,34728.08,0.614144206485530383
2053013566243472379,accessories.wallet,268,16500.18,28300313,10,386.10,0.023399744730057490
2053013556579795419,not specified,267,34246.58,8000319,24,1264.76,0.036930986977385771
2053013563391345499,not specified,261,11674.64,27400001,95,1886.21,0.161564724908005729
2053013563391345499,apparel.glove,261,11674.64,27400001,95,1886.21,0.161564724908005729
2053013566478352393,not specified,261,13939.73,29500016,30,1046.40,0.075066016343214682
2232732106860003995,not specified,259,64492.83,13100400,12,683.21,0.010593580712770706
2232732108453839552,accessories.bag,258,3713.19,16200329,15,212.55,0.057241886356475160
2232732086358245585,computers.peripherals.printer,258,48861.44,1600587,54,10796.16,0.220954601419851728
2106075662325383725,kids.swing,257,34323.35,45300114,37,3033.92,0.088392304364230181
2232732097708032475,apparel.shoes,257,22842.15,45300114,51,4223.20,0.184886273840247087
2232732090980368698,furniture.living_room.sofa,255,128901.72,17200651,60,27784.20,0.215545611028309009
2232732094134485388,not specified,255,61070.49,15700176,73,18746.21,0.306960202873761124
2053013557343158789,construction.components.faucet,252,15041.70,13900099,13,568.74,0.037810885737649335
2232732102539870787,not specified,251,71690.57,3500046,52,20745.40,0.289374181290510035
2053013554155487563,computers.components.motherboard,251,34348.98,6500548,12,2520.00,0.073364623927697416
2053013566067311601,not specified,251,69748.29,9000196,54,11905.87,0.170697661548404986
2061717937420501730,not specified,250,20265.80,34700013,37,313.39,0.015463983657195867
2096280601366626625,not specified,247,15337.99,42600176,26,736.06,0.047989338889906696
2053013555036291451,appliances.personal.scales,244,4849.67,11100287,31,361.49,0.074539092350613547
2053013554096767303,computers.components.power_supply,243,14310.92,9700230,20,625.95,0.043739326332618728
2232732106004365963,appliances.kitchen.grill,243,9231.19,11300008,36,1191.36,0.129058117100828821
2232732109418529498,apparel.shirt,238,10447.99,19300039,50,1479.00,0.141558328444035647
2053013555413778833,not specified,237,37423.29,8200230,15,1130.91,0.030219416839086034
